Datum;ID_Omg;Vecka;M1-1;M1-X;M1-2;M2-1;M2-X;M2-2;M3-1;M3-X;M3-2;M4-1;M4-X;M4-2;M5-1;M5-X;M5-2;M6-1;M6-X;M6-2;M7-1;M7-X;M7-2;M8-1;M8-X;M8-2;M9-1;M9-X;M9-2;M10-1;M10-X;M10-2;M11-1;M11-X;M11-2;M12-1;M12-X;M12-2;M13-1;M13-X;M13-2;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;13 rätt;12 rätt;11 rätt;10 rätt;Vinnare 13;Vinnare 12;Vinnare 11;Vinnare 10;Omsättning;JackPott_Milj;Correct_Row;True_Rank
2021-08-05;2083;31;73.0;18.0;9.0;45.0;31.0;24.0;33.0;27.0;40.0;27;27.0;46.0;70;18.0;12.0;49.0;26.0;25.0;13.0;19.0;68.0;37;27.0;36.0;40.0;30.0;30.0;34.0;31.0;35.0;24.0;20.0;56.0;19.0;24.0;57.0;33.0;28.0;39.0;X;X;2;2;1;X;2;1;X;X;1;2;X;432744;4385;152;39;3.0;167.0;2612;20974;5121231;;XX221X21XX12X;165009
2021-08-08;2084;31;51.0;27.0;22.0;64.0;21.0;15.0;68.0;19.0;13.0;38;27.0;35.0;35;30.0;35.0;46.0;28.0;26.0;14.0;25.0;61.0;31;26.0;43.0;48.0;27.0;25.0;43.0;27.0;30.0;45.0;26.0;29.0;51.0;26.0;23.0;32.0;29.0;39.0;2;1;1;X;1;2;X;2;X;X;1;1;1;59185;1500;81;27;32.0;712.0;7139;44739;7471145;;211X12X2XX111;186046
2021-08-12;2085;32;25.0;29.0;46.0;66.0;19.0;15.0;33.0;27.0;40.0;67;18.0;15.0;70;17.0;13.0;23.0;24.0;53.0;51.0;25.0;24.0;22;23.0;55.0;56.0;24.0;20.0;45.0;29.0;26.0;40.0;29.0;31.0;66.0;19.0;15.0;30.0;27.0;43.0;2;1;2;1;1;1;1;2;X;X;2;2;2;63901;1538;69;20;21.0;492.0;5936;42809;5293621;;21211112XX222;31740
2021-08-15;2086;32;19.0;24.0;57.0;30.0;28.0;42.0;56.0;23.0;21.0;23;30.0;47.0;66;19.0;15.0;23.0;25.0;52.0;43.0;27.0;30.0;21;27.0;52.0;21.0;24.0;55.0;47.0;27.0;26.0;64.0;21.0;15.0;37.0;28.0;35.0;12.0;17.0;71.0;1;2;1;2;1;1;2;2;2;X;X;1;1;440820;9209;338;73;5.0;135.0;2002;19212;8694682;;121211222XX11;281057
2021-08-19;2087;33;63.0;22.0;15.0;62.0;22.0;16.0;21.0;25.0;54.0;63;27.0;10.0;29;24.0;47.0;23.0;29.0;48.0;47.0;28.0;25.0;59;24.0;17.0;52.0;26.0;22.0;49.0;25.0;26.0;60.0;24.0;16.0;69.0;20.0;11.0;27.0;29.0;44.0;1;1;1;1;2;2;X;X;1;1;X;1;X;35082;721;34;0;39.0;1069.0;12108;75305;5397257;;111122XX11X1X;15823
2021-08-22;2088;33;21.0;27.0;52.0;17.0;22.0;61.0;30.0;30.0;40.0;51;27.0;22.0;42;27.0;31.0;36.0;30.0;34.0;36.0;27.0;37.0;55;23.0;22.0;13.0;20.0;67.0;19.0;23.0;58.0;65.0;21.0;14.0;36.0;29.0;35.0;51.0;26.0;23.0;2;X;2;1;X;1;X;1;X;X;1;1;1;144548;2525;118;34;24.0;579.0;6759;48794;10225317;2.5;2X21X1X1XX111;143104
2021-08-26;2089;34;38.0;26.0;36.0;35.0;29.0;36.0;24.0;25.0;51.0;31;27.0;42.0;29;26.0;45.0;62.0;22.0;16.0;27.0;27.0;46.0;35;27.0;38.0;77.0;15.0;8.0;29.0;28.0;43.0;65.0;20.0;15.0;50.0;26.0;24.0;25.0;29.0;46.0;1;2;X;1;1;1;2;1;1;2;1;1;2;5858;177;0;0;270.0;5038.0;39872;181887;6239824;;12X1112112112;2893
2021-08-29;2090;34;17.0;27.0;56.0;32.0;26.0;42.0;69.0;19.0;12.0;26;26.0;48.0;43;29.0;28.0;34.0;29.0;37.0;21.0;24.0;55.0;67;20.0;13.0;15.0;22.0;63.0;51.0;24.0;25.0;54.0;28.0;18.0;39.0;30.0;31.0;27.0;28.0;45.0;2;X;1;1;1;2;1;1;2;X;X;1;1;225930;3075;125;33;21.0;595.0;7946;62667;12796341;4.0;2X1112112XX11;78857
2021-09-02;2091;35;22.0;24.0;54.0;13.0;20.0;67.0;37.0;29.0;34.0;22;25.0;53.0;51;25.0;24.0;64.0;21.0;15.0;80.0;14.0;6.0;66;21.0;13.0;24.0;29.0;47.0;52.0;28.0;20.0;14.0;22.0;64.0;32.0;31.0;37.0;22.0;28.0;50.0;1;2;2;2;X;1;1;1;X;1;2;X;2;3694;107;0;0;513.0;9931.0;78215;334579;7476992;;1222X111X12X2;1900
2021-09-05;2092;35;71.0;18.0;11.0;26.0;28.0;46.0;41.0;28.0;31.0;34;32.0;34.0;63;22.0;15.0;27.0;30.0;43.0;38.0;31.0;31.0;46;28.0;26.0;29.0;28.0;43.0;59.0;26.0;15.0;82.0;12.0;6.0;39.0;32.0;29.0;36.0;33.0;31.0;1;X;X;1;1;X;1;X;X;1;1;2;1;56354;8322;45;15;73.0;1569.0;15596;93323;9134707;3.0;1XX11X1XX1121;30690
